Country Name,Country Code,Indicator Name,Indicator Code,1960,SSA,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.53769907,65.6923382,65.85132708,65.93088345,66.13733171,66.33430713,66.32749883,66.23818254,66.2213526,66.23985526,66.26009875,66.27387057,66.35390553,66.44015795,66.47926451,66.52541048,66.37407947,66.13387216,65.88168413,65.51175667,64.77444878,65.32562474,65.1696414,65.12264311,64.16106705,63.71232469,63.12077925,62.3954739,61.84046856,61.35699337,59.77300963,60.27954577,60.44514406,64.07520665,63.90774477
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.789,15.74,15.66,15.544,15.393,15.226,15.044,14.848,14.653,14.471,14.321,14.223,14.177,14.178,14.228,14.323,14.472,14.686,14.957,15.256,15.576,15.895,16.208,17.138,18.107,19.113,20.156,21.24,19.808,18.304,16.473,14.666,5.159,5.155,5.104
Africa Western and Central,AFW,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.94013689,69.93172283,69.81322855,69.77921857,69.738393,69.67772123,69.57907285,69.49287314,69.40706705,69.40180316,69.35713073,69.29550264,69.15379754,69.02789909,68.90671842,68.76926319,68.63646501,68.54641609,68.31939917,68.07177464,67.82694125,67.6974813,67.49655213,67.14114928,66.78181123,66.4613903,66.23345522,65.72373153,65.42507282,65.17822376,64.43911066,64.78000317,64.73852098,66.3493449,66.18172721
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.607,75.572,75.54,75.513,75.492,75.481,75.48,75.486,75.498,75.513,75.531,75.551,75.57,75.589,75.606,75.618,75.626,75.631,75.631,75.626,75.621,74.865,74.633,74.401,74.167,73.933,73.698,73.461,73.224,72.985,72.731,74.695,73.179,73.224,73.14
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.846,53.407,54.036,53.204,52.514,51.521,50.88,51.71,51.086,50.266,49.849,49.353,49.088,48.461,47.845,47.242,46.652,46.076,45.513,45.955,46.835,52.561,48.937,43.783,43.958,47.116,49.888,49.736,51.407,52.93,50.616,51.887,53.183,53.207,53.512
Andorra,AND,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.36299546,19.45648305,19.83704897,19.76409433,20.12906227,19.97030198,19.90518585,19.73022062,19.59388065,20.05163294,20.09675387,19.96255861,19.26072193,19.44620316,19.60894768,19.78760283,20.03544144,20.61618404,20.23438044,20.54190437,20.71491991,20.74983162,20.52391189,20.64184916,20.73389907,20.68137465,20.71537219,19.89062683,18.88629966,18.29250065,17.79066782,18.03054705,17.88640143,18.28556922,18.0807015
United Arab Emirates,ARE,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.351,30.001,30.413,31.005,31.114,31.249,31.844,32.317,32.821,33.363,33.936,34.532,35.171,35.833,36.496,37.187,38.33,39.537,40.728,41.818,42.886,43.962,45.013,46.08,47.143,48.192,49.233,50.926,51.312,54.382,58.18,50.452,53.057,53.475,54.095
